Nombre,Fecha,Precio
ETH,2021-01-01,{'ETH': {'USD': 737.15}}
ETH,2021-01-02,{'ETH': {'USD': 730.6}}
ETH,2021-01-03,{'ETH': {'USD': 774.9}}
ETH,2021-01-04,{'ETH': {'USD': 978.69}}
ETH,2021-01-05,{'ETH': {'USD': 1043.16}}
ETH,2021-01-06,{'ETH': {'USD': 1103.19}}
ETH,2021-01-07,{'ETH': {'USD': 1210.59}}
ETH,2021-01-08,{'ETH': {'USD': 1225.5}}
ETH,2021-01-09,{'ETH': {'USD': 1216.98}}
ETH,2021-01-10,{'ETH': {'USD': 1279.96}}
ETH,2021-01-11,{'ETH': {'USD': 1255.72}}
ETH,2021-01-12,{'ETH': {'USD': 1088.37}}
ETH,2021-01-13,{'ETH': {'USD': 1050.04}}
ETH,2021-01-14,{'ETH': {'USD': 1129.84}}
ETH,2021-01-15,{'ETH': {'USD': 1232.11}}
ETH,2021-01-16,{'ETH': {'USD': 1169.06}}
ETH,2021-01-17,{'ETH': {'USD': 1228.52}}
ETH,2021-01-18,{'ETH': {'USD': 1233.73}}
ETH,2021-01-19,{'ETH': {'USD': 1258.31}}
ETH,2021-01-20,{'ETH': {'USD': 1367.65}}
ETH,2021-01-21,{'ETH': {'USD': 1377.75}}
ETH,2021-01-22,{'ETH': {'USD': 1111.49}}
ETH,2021-01-23,{'ETH': {'USD': 1234.56}}
ETH,2021-01-24,{'ETH': {'USD': 1234.1}}
ETH,2021-01-25,{'ETH': {'USD': 1392.45}}
ETH,2021-01-26,{'ETH': {'USD': 1318.47}}
ETH,2021-01-27,{'ETH': {'USD': 1368.22}}
ETH,2021-01-28,{'ETH': {'USD': 1241.51}}
ETH,2021-01-29,{'ETH': {'USD': 1330.78}}
ETH,2021-01-30,{'ETH': {'USD': 1379.13}}
ETH,2021-01-31,{'ETH': {'USD': 1379.35}}
ETH,2021-02-01,{'ETH': {'USD': 1314.18}}
ETH,2021-02-02,{'ETH': {'USD': 1374.57}}
ETH,2021-02-03,{'ETH': {'USD': 1513.9}}
