Fecha,valor de media minuto,precio max,preciomin
2021/2/4/16/32,30416.549166666664,30427.76,30396.17
2021/2/4/16/33,30436.258205128208,30473.47,30418.58
2021/2/4/16/34,30449.569487179488,30473.47,30429.52
2021/2/4/16/35,30457.098378378374,30484.73,30429.6
2021/2/4/16/36,30500.84705882353,30539.44,30482.14
2021/2/4/16/37,30571.327058823525,30591.52,30539.28
2021/2/4/16/38,30533.453888888893,30562.84,30516.48
2021/2/4/16/39,30516.430000000008,30522.92,30508.86
2021/2/4/16/40,30550.622307692312,30579.52,30518.47
2021/2/4/16/41,30597.14076923076,30617.01,30570.08
2021/2/4/16/58,30635.67925925926,30644.27,30615.76
2021/2/4/16/59,30632.368918918917,30638.42,30623.01
2021/2/4/17/0,30602.963846153853,30625.12,30583.82
2021/2/4/17/1,30578.990606060604,30596.12,30520.57
2021/2/4/17/2,30552.54785714286,30578.69,30520.57
2021/2/4/17/3,30538.78736842105,30572.49,30514.61
2021/2/4/17/4,30619.467142857146,30674.03,30562.2
2021/2/4/17/5,30651.21547619047,30670.33,30638.22
2021/2/4/17/6,30669.693500000005,30686.91,30649.6
2021/2/4/17/7,30648.27210526316,30671.23,30582.81
